ID Gender,Gender,Year Enlisted,Years in Service,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,Degree Type,ID PUMS Occupation
2,Female,2017,3,TRUE,70," $40,204 "," $7,631 "," 5,748 "," 1,861 ","Military, rank not specified",Bachelor's Degree,559830
2,Female,2015,5,TRUE,71," $41,258 "," $8,167 "," 5,787 "," 1,868 ","Military, rank not specified",Bachelor's Degree,559830
2,Female,2016,4,TRUE,75," $48,422 "," $13,477 "," 7,298 "," 2,097 ","Military, rank not specified",Bachelor's Degree,559830
2,Female,2014,6,TRUE,86," $37,247 "," $6,660 "," 7,661 "," 2,149 ","Military, rank not specified",Bachelor's Degree,559830
2,Female,2018,2,TRUE,87," $40,683 "," $6,489 "," 8,085 "," 2,208 ","Military, rank not specified",Bachelor's Degree,559830
1,Male,2016,4,TRUE,308," $48,952 "," $4,904 "," 28,722 "," 4,160 ","Military, rank not specified",Bachelor's Degree,559830
1,Male,2015,5,TRUE,357," $47,211 "," $5,349 "," 30,668 "," 4,299 ","Military, rank not specified",Bachelor's Degree,559830
1,Male,2018,2,TRUE,337," $54,854 "," $7,055 "," 31,893 "," 4,384 ","Military, rank not specified",Bachelor's Degree,559830
1,Male,2017,3,TRUE,379," $44,598 "," $3,975 "," 34,829 "," 4,581 ","Military, rank not specified",Bachelor's Degree,559830
1,Male,2014,6,TRUE,394," $48,275 "," $3,608 "," 36,339 "," 4,680 ","Military, rank not specified",Bachelor's Degree,559830
2,Female,2014,6,TRUE,57," $20,335 "," $8,209 "," 3,965 "," 1,546 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,553010
2,Female,2015,5,TRUE,43," $25,932 "," $7,259 "," 4,115 "," 1,575 ",Military enlisted tactical operations & air/weapons specialists & crew members,Associate's Degree and/or Certificate,553010
2,Female,2016,4,TRUE,72," $22,653 "," $4,940 "," 5,569 "," 1,832 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,553010
2,Female,2018,2,TRUE,70," $30,527 "," $7,996 "," 6,400 "," 1,964 ",Military enlisted tactical operations & air/weapons specialists & crew members,Associate's Degree and/or Certificate,553010
2,Female,2017,3,TRUE,70," $25,478 "," $6,095 "," 6,976 "," 2,051 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,553010
1,Male,2014,6,TRUE,208," $27,904 "," $4,415 "," 18,921 "," 3,377 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,553010
1,Male,2015,5,TRUE,213," $26,472 "," $3,862 "," 19,575 "," 3,435 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,553010
1,Male,2016,4,TRUE,243," $29,137 "," $3,818 "," 24,253 "," 3,823 ",Military enlisted tactical operations & air/weapons specialists & crew members,Associate's Degree and/or Certificate,553010
1,Male,2017,3,TRUE,261," $29,255 "," $4,005 "," 25,739 "," 3,939 ",Military enlisted tactical operations & air/weapons specialists & crew members,Associate's Degree and/or Certificate,553010
1,Male,2018,2,TRUE,318," $27,843 "," $3,732 "," 28,086 "," 4,114 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,553010
2,Female,2016,4,TRUE,21," $62,718 "," $22,487 "," 1,693 "," 1,010 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
2,Female,2014,6,TRUE,22," $52,028 "," $11,723 "," 2,263 "," 1,168 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
2,Female,2018,2,TRUE,31," $57,792 "," $11,356 "," 2,702 "," 1,276 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
2,Female,2017,3,TRUE,29," $64,857 "," $17,221 "," 2,807 "," 1,301 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
2,Female,2015,5,TRUE,31," $54,527 "," $8,488 "," 3,189 "," 1,386 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
1,Male,2014,6,TRUE,114," $69,326 "," $12,923 "," 10,426 "," 2,507 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
1,Male,2016,4,TRUE,133," $73,622 "," $7,294 "," 10,725 "," 2,542 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
1,Male,2017,3,TRUE,142," $64,481 "," $6,622 "," 12,333 "," 2,726 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
1,Male,2018,2,TRUE,155," $74,709 "," $6,907 "," 13,760 "," 2,880 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
1,Male,2015,5,TRUE,174," $65,421 "," $6,840 "," 16,889 "," 3,190 ",Firstline enlisted military supervisors,Bachelor's Degree,552010
2,Female,2016,4,TRUE,8," $27,016 "," $9,910 ", 510 , 554 ,Aircraft mechanics & service technicians,High School Degree and Certificate,493011
2,Female,2015,5,TRUE,14," $25,205 "," $10,119 ", 659 , 630 ,Aircraft mechanics & service technicians,High School Degree,493011
2,Female,2018,2,TRUE,19," $28,694 "," $9,492 ", 876 , 727 ,Aircraft mechanics & service technicians,High School Degree and Certificate,493011
2,Female,2014,6,TRUE,9," $22,430 "," $3,025 "," 1,049 ", 795 ,Aircraft mechanics & service technicians,High School Degree,493011
2,Female,2017,3,TRUE,16," $32,719 "," $14,364 "," 1,569 ", 972 ,Aircraft mechanics & service technicians,Associate's Degree and Certificate,493011
1,Male,2014,6,TRUE,105," $32,803 "," $4,543 "," 8,769 "," 2,299 ",Aircraft mechanics & service technicians,High School Degree and Certificate,493011
1,Male,2017,3,TRUE,132," $35,803 "," $5,922 "," 11,205 "," 2,599 ",Aircraft mechanics & service technicians,High School Degree and Certificate,493011
1,Male,2015,5,TRUE,146," $33,664 "," $4,699 "," 12,043 "," 2,694 ",Aircraft mechanics & service technicians,High School Degree,493011
1,Male,2018,2,TRUE,158," $36,483 "," $3,729 "," 12,044 "," 2,694 ",Aircraft mechanics & service technicians,Associate's Degree and Certificate,493011
1,Male,2016,4,TRUE,153," $38,177 "," $4,100 "," 13,521 "," 2,855 ",Aircraft mechanics & service technicians,Bachelor's Degree,493011
2,Female,2017,3,TRUE,6," $68,790 "," $49,069 ", 417 , 501 ,Aircraft pilots & flight engineers,Bachelor's Degree and Certification,532010
2,Female,2014,6,TRUE,5," $78,655 "," $45,958 ", 420 , 503 ,Aircraft pilots & flight engineers,Master's Degree,532010
2,Female,2016,4,TRUE,9," $76,238 "," $28,763 ", 544 , 573 ,Aircraft pilots & flight engineers,Master's Degree,532010
2,Female,2015,5,TRUE,9," $59,629 "," $12,546 ", 769 , 681 ,Aircraft pilots & flight engineers,Bachelor's Degree,532010
2,Female,2018,2,TRUE,13," $61,290 "," $16,728 ", 904 , 738 ,Aircraft pilots & flight engineers,Bachelor's Degree,532010
1,Male,2016,4,TRUE,101," $82,328 "," $8,100 "," 9,010 "," 2,330 ",Aircraft pilots & flight engineers,Master's Degree,532010
1,Male,2014,6,TRUE,96," $81,743 "," $8,504 "," 9,109 "," 2,343 ",Aircraft pilots & flight engineers,Bachelor's Degree and Certification,532010
1,Male,2015,5,TRUE,103," $86,073 "," $8,499 "," 9,970 "," 2,451 ",Aircraft pilots & flight engineers,Master's Degree,532010
1,Male,2018,2,TRUE,120," $74,138 "," $8,356 "," 11,106 "," 2,587 ",Aircraft pilots & flight engineers,Bachelor's Degree and Certification,532010
1,Male,2017,3,TRUE,114," $85,718 "," $8,602 "," 11,113 "," 2,588 ",Aircraft pilots & flight engineers,Master's Degree,532010
1,Male,2017,5,TRUE,13," $37,304 "," $16,751 "," 5,249 "," 3,702 ",Aircraft pilots & flight engineers,Bachelor's Degree,559830
2,Female,2014,6,TRUE,99," $26,681 "," $14,696 "," 1,204 "," 2,833 ",Military enlisted tactical operations & air/weapons specialists & crew members,High School Degree,559830
1,Male,2014,5,TRUE,387," $39,993 "," $7,018 "," 14,982 ", 907 ,"Military, rank not specified",Bachelor's Degree,532010
1,Male,2017,4,TRUE,120," $53,821 "," $11,306 "," 15,606 "," 3,686 ",Aircraft mechanics & service technicians,Master's Degree,493011
2,Female,2014,6,TRUE,62," $24,599 "," $14,754 "," 9,319 "," 3,648 ",Military enlisted tactical operations & air/weapons specialists & crew members,Bachelor's Degree,493011
1,Male,2017,5,TRUE,3," $28,824 "," $17,707 "," 4,515 "," 3,578 ",Aircraft mechanics & service technicians,High School Degree,553010
1,Male,2016,5,TRUE,11," $49,869 "," $5,648 "," 23,630 "," 3,316 ",Aircraft mechanics & service technicians,Master's Degree,553010
2,Female,2017,6,TRUE,75," $26,442 "," $22,697 "," 2,111 "," 3,161 ",Aircraft pilots & flight engineers,Bachelor's Degree,552010
1,Male,2017,4,TRUE,14," $50,058 "," $6,429 "," 9,411 "," 2,188 ",Aircraft pilots & flight engineers,Master's Degree,559830
1,Male,2015,5,TRUE,117," $48,184 "," $16,071 "," 6,934 "," 1,602 ","Military, rank not specified",Bachelor's Degree,553010
1,Male,2017,2,TRUE,17," $31,460 "," $6,788 "," 14,105 "," 3,075 ","Military, rank not specified",High School Degree and Certificate,532010
1,Male,2017,5,TRUE,83," $45,606 "," $33,289 "," 22,872 "," 1,305 ",Aircraft mechanics & service technicians,Bachelor's Degree,559830
2,Female,2016,5,TRUE,93," $76,138 "," $9,159 "," 4,889 ", 667 ,Firstline enlisted military supervisors,High School Degree,532010
1,Male,2015,4,TRUE,2," $34,077 "," $4,254 "," 12,564 ", 975 ,Aircraft mechanics & service technicians,High School Degree,532010
2,Female,2016,3,TRUE,75," $26,203 "," $26,908 "," 14,119 "," 1,729 ","Military, rank not specified",High School Degree,559830
2,Female,2016,3,TRUE,12," $33,309 "," $17,899 "," 5,105 "," 2,731 ",Firstline enlisted military supervisors,Bachelor's Degree,559830
2,Female,2018,6,TRUE,284," $70,413 "," $27,616 "," 30,276 ", 904 ,Aircraft pilots & flight engineers,Associate's Degree and/or Certificate,559830
1,Male,2018,3,TRUE,2," $63,707 "," $11,891 "," 4,387 "," 2,241 ",Aircraft pilots & flight engineers,High School Degree,552010
1,Male,2016,3,TRUE,205," $27,494 "," $5,218 "," 9,398 "," 3,986 ",Aircraft pilots & flight engineers,Bachelor's Degree,552010
1,Male,2014,3,TRUE,542," $59,826 "," $4,512 "," 4,397 "," 2,271 ",Aircraft mechanics & service technicians,High School Degree,532010
1,Male,2018,6,TRUE,163," $40,060 "," $8,223 "," 4,448 "," 2,511 ",Aircraft pilots & flight engineers,Bachelor's Degree,559830
